OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,SalePrice
8,3279,3,841,1650,1690,3,12,2003,2003,538000
7,1530,3,630,1530,1530,2,7,2004,2004,259000
5,804,1,240,788,804,1,4,1940,1992,119000
5,1297,2,498,1297,1297,1,5,1954,1990,153000
6,1498,2,409,691,691,2,6,1995,1996,187500
8,1567,3,648,1520,1567,2,7,2006,2006,264561
8,2392,3,870,1396,1407,2,7,1997,1998,348000
6,2345,2,360,952,1170,2,9,1932,1950,239000
4,912,0,0,0,672,1,3,1947,1950,80500
5,1048,1,286,1048,1048,1,6,1956,1956,135000
10,2332,3,846,1682,1742,2,9,2007,2008,426000
5,1073,1,326,1073,1073,1,4,1921,1968,108480
5,1122,2,528,924,1122,1,6,1948,2005,147000
7,1792,2,564,963,963,2,7,2001,2001,231500
5,1812,1,264,864,876,2,8,1962,1962,169500
6,1494,2,576,1479,1494,2,6,1997,1997,217000
8,1288,2,500,1260,1288,1,4,1996,1996,245500
7,1928,2,434,847,847,2,8,2003,2004,219500
7,1959,2,434,847,847,2,8,2004,2005,215000
6,1262,2,460,1262,1262,2,6,1976,1976,181500
7,1378,2,360,689,689,2,7,1928,2005,161000
7,2110,2,522,2110,2110,2,8,1968,1968,244000
7,1536,2,532,1536,1536,2,7,2002,2003,214000
4,1131,2,672,907,1131,1,7,1937,2000,89471
5,902,1,288,876,902,1,6,1967,1967,125500
6,2515,2,484,2035,2515,3,9,1957,1975,200624
5,1344,1,240,896,896,1,7,1936,1950,115000
8,2727,2,440,853,1549,2,10,1932,1994,315000
5,968,2,480,968,968,1,5,1923,2006,100000
7,1221,2,400,1221,1221,2,6,2004,2005,185000
7,1500,3,648,1356,1500,2,6,2006,2006,246578
10,4476,3,813,2396,2411,3,10,1996,1996,745000
7,1964,2,483,803,1098,2,8,1976,1976,205000
7,1535,2,532,1517,1535,2,7,2004,2004,214000
6,1505,2,505,1505,1505,1,6,1953,1953,149500
6,1593,2,398,839,864,2,8,2004,2004,193000
5,894,2,450,894,894,1,5,1967,2003,130000
5,1316,2,484,926,926,1,6,1929,2001,130000
6,1082,1,240,1082,1082,1,5,1948,1950,119200
6,952,1,192,952,952,1,4,1916,1950,121000
5,1647,2,621,1430,1647,2,7,1977,1977,217500
5,1134,1,254,1010,1134,1,6,1960,2002,135000
7,1431,2,666,1431,1431,2,6,1999,1999,192000
7,1411,2,544,1386,1411,2,6,1977,1977,82500
7,1434,2,527,1454,1434,2,6,2001,2001,189000
7,1674,2,663,814,814,2,7,2000,2000,216000
8,2046,3,834,2046,2046,2,7,2008,2008,372500
4,1067,2,436,1067,1067,2,4,1950,1995,128000
5,1352,1,288,1062,1352,1,6,1958,1958,130000
5,1344,3,513,624,624,1,7,1916,1950,98000
5,1268,1,288,832,1036,1,6,1949,1950,133000
5,900,2,576,900,900,1,5,1951,2000,134800
6,1564,2,476,650,888,2,7,1980,1981,171000
4,990,0,0,990,990,1,5,1994,1995,123600
6,1595,1,240,940,1192,1,6,1940,2000,140000
8,1713,3,856,1713,1713,2,7,2004,2005,274900
7,1548,2,672,952,952,2,5,1925,2007,205000
8,1324,2,550,1324,1324,2,6,2006,2006,254000
8,1625,2,538,1573,1625,2,5,2006,2007,235000
5,1060,1,270,1060,1060,1,6,1968,2001,154000
6,1786,2,684,824,905,2,7,1997,1997,204750
9,1838,3,765,1838,1838,2,8,2006,2006,315000
5,1008,1,240,1008,1008,1,6,1953,2006,134500
10,2633,3,804,2633,2633,2,8,2001,2002,466500
7,1344,4,784,1344,1344,2,8,1997,1998,206300
2,800,0,0,264,800,1,4,1936,1950,60000
5,780,1,352,780,780,1,4,1972,1972,124900
5,1235,2,480,1235,1235,1,6,1961,1961,98600
6,848,2,420,848,848,1,3,2003,2003,136500
6,1279,2,473,1196,1279,2,6,1977,1977,171500
5,912,1,275,912,912,1,5,1958,1958,114500
7,1200,2,555,1176,1200,2,5,2003,2003,184900
9,2596,3,840,1249,1249,3,9,2006,2006,342643
8,2452,3,691,1117,1132,3,9,2004,2005,309000
6,1224,2,528,612,612,2,4,2009,2009,164500
6,1824,2,520,764,1060,1,8,1919,1950,180500
8,1571,3,722,1571,1571,2,7,2007,2007,239000
7,1430,2,400,384,774,2,7,2000,2000,180000
6,1509,2,393,783,807,2,7,2002,2003,183200
5,1056,1,260,1056,1056,1,6,1954,2005,139400
6,1306,2,624,1306,1306,2,5,2005,2005,196000
7,1258,3,648,1258,1258,2,6,2006,2007,172500
7,1588,2,472,1588,1588,2,6,1999,1999,214000
6,1640,2,520,798,798,2,6,2004,2004,173000
8,1694,2,636,1686,1694,2,7,2004,2005,307000
5,1383,1,354,1383,1383,1,6,1954,1954,165000
5,1056,1,308,1056,1056,1,6,1958,1992,139000
5,974,0,0,974,974,1,5,1991,1992,93500
4,960,1,432,960,960,1,6,1965,1965,94750
7,1902,2,567,1902,1902,2,7,1959,2002,335000
5,866,0,0,686,866,1,4,1945,1997,110500
7,1768,2,603,866,866,2,7,2005,2005,226700
7,1776,2,474,936,936,2,7,2002,2002,192500
10,4316,3,832,2444,2444,3,10,1994,1995,755000
4,1294,0,0,0,694,2,7,1900,2000,106250
6,1635,1,255,485,1001,1,5,1910,2003,117000
5,1327,2,624,1063,1327,1,7,1959,2002,150750
6,1578,1,240,806,958,1,5,1941,1950,133000
4,1192,0,0,720,720,1,6,1949,1950,135000
5,2200,0,0,1272,1272,2,9,1900,2003,145900
7,1382,2,490,673,673,2,6,2000,2000,165000
8,1795,3,895,1795,1795,2,7,2006,2007,147000
6,1493,2,508,1478,1493,2,7,1997,1998,208900
5,768,1,396,768,768,1,5,1972,2003,133900
7,1962,3,868,1391,1391,2,7,2006,2006,239799
5,1437,2,528,1437,1437,2,6,1976,2004,218000
8,1496,2,474,1496,1496,2,7,2007,2007,225000
5,985,1,328,985,985,2,6,1977,1977,149900
7,1569,3,660,1386,1569,2,7,2007,2007,175900
5,999,1,300,925,999,1,6,1962,1962,134500
6,1851,2,440,822,1020,2,7,1964,1993,187000
6,1479,2,475,725,725,2,6,1976,2005,130500
4,1336,1,570,637,897,1,7,1920,1950,108000
5,1728,1,352,1728,1728,2,10,1964,1964,119000
6,1167,2,400,1158,1167,2,6,1992,1992,173000
6,1617,2,533,1604,1617,2,5,1993,1994,193000
7,1865,3,839,992,992,2,7,2000,2000,235000
3,1077,1,210,1007,1077,1,6,1922,1950,91000
10,2020,3,900,2006,2020,2,9,2009,2009,402861
7,1166,2,400,856,1166,2,5,2005,2005,190000
5,1302,2,440,630,630,2,6,1970,1970,106000
7,2514,2,693,1216,1298,2,8,1990,1991,250000
5,860,2,528,840,860,1,4,1982,1982,137000
5,955,1,386,955,955,1,6,1966,1966,127000
7,2398,3,834,1379,1383,2,8,1996,1997,315750
7,1484,2,606,1473,1484,2,7,2004,2005,213000
5,1456,1,280,810,1002,1,7,1948,1950,91500
5,996,0,0,996,996,1,6,1940,1969,108000
5,1283,2,506,931,1283,1,6,1962,1980,140000
6,1442,1,301,1442,1442,1,7,1958,1958,157900
7,1108,1,280,637,1108,1,6,1930,1950,139400
9,1905,3,788,1905,1905,2,8,2006,2006,320000
5,1535,2,410,0,1535,2,8,1979,1979,118964
5,1041,1,270,1041,1041,1,6,1959,1959,124500
4,960,1,364,648,960,0,3,1965,2001,145000
5,1034,1,240,735,735,1,5,1940,1950,109000
7,1226,3,740,1226,1226,2,6,2009,2009,198900
6,1034,3,888,1012,1034,1,6,1976,1976,169900
7,1547,2,614,756,764,2,7,2009,2009,215200
4,788,0,0,788,788,1,4,1941,1950,100000
6,1489,1,240,778,944,2,7,1940,1950,139500
6,987,1,264,483,483,1,4,1971,1971,85400
5,698,0,0,698,698,1,4,1947,2008,118000
5,1437,2,576,1188,1437,1,6,1956,1987,168000
7,1442,2,719,910,1442,2,6,1990,1991,179900
6,1395,2,497,723,735,1,6,1972,1972,162000
4,720,0,0,720,720,1,4,1920,1950,34900
5,1214,2,461,1214,1214,1,6,1965,1965,140000
6,1844,2,546,1844,1844,2,7,1977,1977,190000
7,2090,2,577,1190,1190,2,6,1984,1984,207500
6,1103,2,440,1103,1103,1,5,1925,1980,110500
5,1803,2,484,1134,1803,2,8,1957,2000,155000
7,2031,2,541,1153,1153,2,8,1998,1999,222500
5,1558,1,288,913,1048,1,6,1945,1950,140000
5,988,1,276,876,988,1,6,1950,1950,119000
5,1558,1,282,910,910,1,6,1950,1950,152000
7,1302,2,436,1302,1302,2,6,2007,2007,176485
5,969,2,440,969,969,1,5,1975,1975,122000
7,2097,3,678,1080,1080,2,9,1993,1993,228000
5,1211,1,322,952,1211,1,5,1968,1968,134000
7,1626,2,474,764,764,2,6,2003,2003,175500
6,1026,2,576,940,1026,1,5,1978,1978,147000
6,1412,1,280,780,825,1,6,1939,1950,132500
3,1605,1,379,840,840,2,8,1915,1950,107400
6,1118,1,358,1096,1118,1,6,1977,1977,171000
7,1240,3,826,1240,1240,2,5,2006,2006,194000
6,1218,1,264,672,672,1,7,1972,1972,118000
5,902,2,484,864,902,1,5,1983,1983,131000
7,1664,2,528,832,832,2,8,1976,1976,162900
6,1258,1,280,560,698,1,6,1939,1950,105000
6,1690,2,463,924,948,2,7,2000,2000,181000
6,1571,2,380,799,799,2,7,1993,1994,178000
7,1392,2,540,689,703,2,5,2007,2007,146000
4,1230,1,305,747,774,1,5,1946,1950,121600
8,2810,2,750,1453,1453,2,9,1990,1990,302000
9,1684,2,564,1684,1684,2,6,2005,2005,266000
6,1352,1,299,663,663,1,7,1969,1969,158000
8,1836,3,862,1836,1836,2,7,2004,2005,280000
8,2531,3,752,1318,1328,2,9,1995,1995,290000
7,2260,2,533,1306,1306,2,7,1996,1997,328000
8,1768,2,578,866,866,2,7,2007,2007,212000
6,1476,2,540,738,738,2,7,2005,2005,173500
3,1183,1,308,649,679,1,6,1948,2002,120000
7,1173,2,528,1053,1173,2,6,1974,1974,170000
9,1746,3,758,1746,1746,2,7,2006,2007,377500
8,2132,2,612,1496,1496,1,5,1983,2009,316600
4,1328,1,210,686,810,1,8,1925,1950,107000
7,2646,3,656,1347,1372,2,9,1993,1993,260000
7,2640,4,864,1240,1320,1,8,1880,2003,265979
5,796,0,0,796,796,1,4,1910,1950,85000
4,1774,3,779,1095,1095,2,8,1900,1950,87000
7,1146,2,438,868,1146,2,6,2003,2003,187500
6,1392,2,458,1392,1392,1,6,1957,1957,166000
6,1664,2,460,953,953,2,7,2000,2000,172400
7,1954,2,431,798,1137,1,8,1939,2006,311500
5,1768,1,240,731,981,1,7,1937,1950,175000
6,2112,2,576,952,1092,2,9,1969,1969,206900
6,2144,2,389,1444,1444,2,7,1958,2006,277000
6,1294,2,496,1278,1294,2,6,1991,1991,179200
6,2654,2,619,1054,1512,2,9,1968,1984,250000
6,1004,2,480,1004,1004,1,5,1970,1970,149000
4,864,2,576,864,864,1,5,1972,1972,111250
5,1656,2,506,1656,1656,2,8,1973,1973,135000
6,1756,2,422,872,888,2,7,1996,1997,204000
5,1128,2,525,1120,1128,2,6,1963,1963,155000
6,1728,2,673,864,864,2,7,2003,2003,207500
4,630,0,0,630,630,1,3,1972,1972,75500
6,912,1,288,912,912,1,5,1961,1996,142000
9,2643,3,694,2153,2069,2,9,2006,2006,380000
5,980,1,384,980,980,2,6,1967,1967,135500
7,2022,2,505,1160,1156,2,8,1977,1977,192000
6,1651,2,616,1606,1651,2,7,1986,1986,184000
6,1764,2,470,928,928,2,7,1997,1997,231500
5,1838,2,372,732,734,2,7,2005,2005,192140
10,2084,3,1220,2078,2084,2,7,2007,2008,385000
7,1524,2,586,1332,1332,0,4,1979,1979,260000
5,893,2,576,845,893,1,4,1949,2003,135000
7,1626,2,474,764,764,2,6,2003,2004,154000
6,1509,2,600,1461,1509,2,5,1988,1989,175000
5,1155,2,576,1109,1155,1,6,1961,1995,148000
8,2290,2,779,1128,1149,2,9,2002,2002,255900
7,1801,2,484,1501,1801,2,6,1959,1997,289000
6,1796,2,483,780,983,1,8,1963,1963,140000
6,1556,2,441,727,829,1,8,1968,1968,154000
8,1652,2,499,1494,1652,2,6,2000,2000,251000
6,1586,2,435,1362,1586,2,7,1979,1998,181000
6,1471,2,440,729,742,2,6,1999,1999,172500
8,1694,3,776,1694,1694,2,7,2008,2008,245350
6,2447,1,336,804,1699,2,10,1919,1990,169000
7,2519,2,628,1210,1238,2,9,1989,1990,335000
6,1218,0,0,672,672,1,7,1971,1971,91500
7,1452,2,506,691,713,2,6,1999,1999,183900
6,1671,2,472,959,959,2,7,2000,2000,173000
5,1148,1,672,1148,1148,1,6,1959,1959,132500
5,1015,1,450,768,1015,1,6,1925,1950,88000
5,965,1,300,828,965,1,6,1965,1965,119900
1,334,0,0,0,334,1,2,1946,1950,39300
5,900,1,288,864,900,1,6,1967,1967,123000
8,1636,3,865,1623,1636,2,8,2006,2006,255000
5,1178,2,439,1176,1178,1,5,1973,2000,157000
6,1208,2,546,1208,1208,1,6,1977,1977,165000
8,1578,3,840,1573,1578,2,7,2008,2009,287090
5,768,2,396,768,768,1,5,1972,2007,133000
8,1088,2,461,1074,1088,1,5,1986,1986,170000
6,1251,1,461,1251,1251,1,6,1964,1964,160000
9,1668,3,702,1626,1668,2,7,2002,2002,285000
7,1689,3,954,1689,1689,2,7,2007,2007,248328
8,2098,3,878,1030,1038,2,8,2005,2005,275500
5,990,2,576,990,990,1,5,1995,1995,156000
6,864,1,288,864,864,1,4,1959,1959,120000
5,1734,2,539,0,1302,2,8,1977,1977,126000
6,832,2,528,832,832,1,4,1954,1954,105500
8,1826,3,758,1814,1826,2,7,2005,2006,319000
6,1520,1,364,1156,1520,1,7,1955,1972,153000
8,2612,3,676,1225,1276,2,8,1998,1999,336000
5,1268,1,244,1268,1268,1,7,1954,1954,132000
5,950,1,280,950,950,1,5,1971,1971,119500
7,1504,2,478,1504,1504,2,6,1996,1996,203000
4,1510,1,296,755,755,1,7,1940,1950,108000
5,894,1,336,894,894,1,5,1965,2009,138500
7,1872,2,604,1845,1872,2,6,1988,1988,241500
9,2224,3,738,1462,1462,2,10,2004,2005,350000
5,1382,2,660,720,854,1,7,1941,1950,128500
4,1178,1,384,859,859,1,7,1900,1950,102776
8,1992,2,648,1053,1053,2,9,2003,2004,250000
6,1868,2,477,585,1140,3,7,1984,2003,178000
7,1250,2,625,625,625,2,5,2006,2007,171900
7,1818,1,240,1040,1226,1,7,1931,1950,169500
7,2127,3,833,1104,912,2,8,1991,1991,238000
4,1224,2,462,0,1224,2,6,1962,1962,101800
5,1152,2,484,1152,1152,1,6,1964,1964,180500
5,1111,1,288,530,581,1,6,1920,1996,101000
5,768,2,624,768,768,1,5,1970,1970,129500
6,1876,2,540,901,943,2,8,1974,1974,185000
5,2138,2,360,849,1075,2,11,1898,1965,106000
6,848,2,420,848,848,1,3,2003,2003,131500
5,882,2,461,882,882,1,5,1972,1972,112500
5,1111,1,200,616,616,1,5,1941,1950,95000
5,1960,2,400,960,960,2,10,1952,1952,124500
7,1680,2,583,1650,1680,2,7,1998,1999,213250
8,1852,3,660,1004,1004,2,7,1999,2000,230000
5,938,1,308,938,938,1,5,1975,1980,130250
5,1779,2,454,1763,1779,1,6,1955,1974,170000
7,1402,3,648,1258,1402,0,7,2006,2007,194201
6,2259,2,450,1809,2259,2,7,1953,1953,217000
7,1820,2,492,864,902,1,8,1965,1988,201800
5,1728,2,576,1728,1728,2,10,1965,1965,142600
5,971,1,300,971,971,1,5,1969,1969,128500
6,1357,1,312,1019,1357,1,5,1959,2006,177000
5,970,2,624,970,970,1,5,1963,1963,132500
6,2210,1,205,1008,1178,2,8,1880,1950,117500
7,1725,2,550,539,1040,2,6,1979,1979,197000
5,912,1,297,912,912,1,5,1958,1985,120000
5,900,1,280,882,900,1,5,1967,1967,122000
5,1700,2,447,1398,1700,1,6,1959,1959,165500
5,1680,2,528,1680,1680,2,8,1976,1976,136905
6,790,1,160,768,790,1,4,1930,1950,91000
4,894,2,400,894,894,1,5,1954,1954,110000
7,1790,2,588,873,882,2,7,1999,1999,193000
6,1092,1,264,525,525,1,6,1971,1971,88000
6,1484,2,390,742,742,2,8,2005,2005,174000
5,803,2,360,720,803,1,5,1941,1950,87000
5,912,1,352,912,912,1,4,1962,1962,144000
7,1616,3,834,1616,1616,2,7,2005,2005,232000
6,918,1,264,918,918,2,5,1979,1979,99500
7,1978,2,486,832,1098,2,9,1968,1968,176000
6,1639,1,240,1064,1166,1,6,1936,1950,115000
7,1482,2,392,384,812,2,7,1992,1992,163900
5,948,1,300,948,948,1,6,1968,1968,108000
7,1774,2,468,952,1022,2,8,1931,1950,129900
8,1953,3,1043,1082,1082,2,9,2005,2006,252000
8,1844,2,620,1844,1844,2,7,2005,2006,257000
6,1118,2,440,648,734,1,6,1920,1950,116000
6,848,2,420,848,848,1,3,2004,2004,155900
4,1620,2,490,1281,1620,2,8,1976,1993,150000
7,1368,2,474,1368,1368,2,6,2005,2006,202665
7,1982,2,575,807,1175,2,7,1989,1989,228500
5,1056,2,572,1056,1056,1,5,1955,1955,145000
7,2156,2,508,1568,2156,2,9,1968,2003,262500
5,1236,1,288,912,1236,1,6,1961,1994,135000
6,1593,2,389,808,808,2,7,1992,1993,178000
6,958,2,440,958,958,2,5,1976,1976,143750
5,1099,1,352,1099,1099,1,6,1995,2006,144000
6,1426,2,440,690,698,1,6,1977,1977,159500
5,864,1,360,864,864,1,5,1965,1965,62383
7,1479,2,577,1468,1479,2,6,1999,2000,191000
7,2036,2,513,2136,2036,2,8,1965,1965,375000
7,1368,2,474,1368,1368,2,6,2005,2006,202500
8,2262,3,749,1482,1482,2,10,2003,2003,305000
7,1428,2,554,1417,1428,2,6,2008,2008,227680
6,2134,2,441,844,1445,2,10,1916,1994,214500
7,1582,2,520,770,770,2,6,2004,2004,185900
6,1199,2,530,1199,1199,2,5,1993,1993,153900
5,1063,1,280,1056,1063,1,6,1954,1954,128000
6,1800,2,463,982,1007,2,7,2000,2000,179000
6,1198,0,0,901,1088,1,7,1920,1998,79900
5,1148,1,308,980,1148,1,6,1952,1952,123500
8,2020,2,466,1128,1142,2,8,1995,1995,239500
5,1432,2,588,1360,1432,1,5,1978,1978,194000
8,2263,2,905,1055,1055,2,7,2001,2002,287000
7,1241,2,569,1241,1241,1,4,2006,2007,199900
6,1721,2,471,928,936,2,7,1994,1994,201000
10,3627,3,807,1930,1831,3,10,1995,1996,625000
8,1624,3,757,1624,1624,2,5,1994,1995,262000
